"ano";"idLicitacao";"numItem";"descricao";"numSubitens";"unidadesLicitadas";"vlrEstimado";"unidadesProposta";"vlrProposta";"numProposta";"marcaProposta";"fornecedorCpfCnpj";"fornecedorSituacao";"dataProposta";"diasValidadeProposta";"observacoes";"urlDocumento"
"2023";"18685";"1";"GRUPO 1 - GRADES DE CONTENÇÃO COM BARRAS DE ESCORAMENTO";"3";"2533";"817689";"";"380692";"33837";"DESDOBRA";"41.928.671/0001-02";"Incluído";"2023-01-30";"60";"";""
"2023";"18889";"1";"VENTILADOR DE PAREDE";"";"18";"6256";"18";"3412";"33864";"VENTISOL";"33.671.275/0001-06";"Incluído";"2023-02-08";"120";"";""
"2023";"18889";"2";"VENTILADOR DE ALTA VAZÃO PARA PAREDE";"";"6";"28087";"6";"19999";"33865";"QUALITAS";"47.457.244/0001-61";"Incluído";"2023-02-16";"60";"";""
"2023";"18966";"1";"SOLUÇÃO DE ANÁLISE E DIAGNÓSTICO DE REDES SEM FIO";"3";"3";"101429";"";"91890";"33875";"EKAHAU";"20.061.633/0001-17";"Incluído";"2023-02-13";"60";"";""
"2023";"18966";"2";"MICROCOMPUTADOR PORTÁTIL TIPO NOTEBOOK";"";"1";"13024";"1";"5289";"33876";"DELL";"05.207.424/0001-45";"Incluído";"2023-02-13";"90";"";""
"2023";"18974";"1";"PAPELÃO CALANDRADO Nº 15";"";"50";"999";"50";"990";"33877";"HORLE";"67.642.736/0001-34";"Incluído";"2023-02-23";"60";"";""
"2023";"18974";"2";"COURO CRU";"";"50";"37000";"50";"18606";"33878";"SÃO MARCOS";"27.363.204/0001-43";"Incluído";"2023-02-23";"90";"";""
"2023";"18974";"5";"VENTOSA DE 3 PONTAS PARA VIDROS - 100KG";"";"2";"194";"2";"194";"33879";"VONDER";"45.769.285/0001-68";"Incluído";"2023-02-23";"90";"";""
"2023";"18974";"6";"LÂMINA DE 18 MM PARA ESTILETE";"";"30";"950";"30";"293";"33880";"VONDER";"42.240.841/0001-16";"Incluído";"2023-02-23";"60";"";""
"2023";"18974";"10";"DESUMIDIFICADOR - PARTICIPAÇÃO ABERTA - VINCULADO AO ITEM 11";"";"9";"77400";"9";"37980";"33881";"ARSEC";"40.738.393/0001-50";"Incluído";"2023-02-23";"60";"";""
"2023";"18974";"11";"DESUMIDIFICADOR - PARTICIPAÇÃO EXCLUSIVA ME/EPP - VINCULADO AO ITEM 10";"";"3";"25800";"3";"12660";"33881";"ARSEC";"40.738.393/0001-50";"Incluído";"2023-02-23";"60";"";""
"2023";"18974";"12";"TERMOHIGRÓGRAFO DIGITAL";"";"10";"33682";"10";"33682";"33882";"TESTO";"10.208.492/0001-69";"Incluído";"2023-02-24";"60";"";""
"2023";"18974";"13";"DEIONIZADOR DE ÁGUA";"";"1";"1972";"1";"1970";"33881";"QUIMIS";"40.738.393/0001-50";"Incluído";"2023-02-23";"60";"";""
"2023";"19010";"2";"ÁLCOOL  DESINFETANTE A 70%  (P/P) PARA USO EM SUPERFÍCIES FIXAS";"";"1020";"10659";"1020";"6313";"33803";"J. FERES";"33.498.171/0001-41";"Incluído";"2023-01-17";"60";"";""
"2023";"19010";"3";"ALCOOL GEL 70% PARA HIGIENIZAÇÃO E ANTISSEPSIA DAS MÃOS - PARTICIPAÇÃO ABERTA - VINCULADO AO ITEM 4";"";"4500";"70695";"4500";"51660";"33804";"TRILHA";"05.895.525/0001-56";"Incluído";"2023-01-17";"60";"";""
"2023";"19010";"4";"ALCOOL GEL 70% PARA HIGIENIZAÇÃO E ANTISSEPSIA DAS MÃOS - PARTICIPAÇÃO EXCLUSIVA ME/EPP - VINCULADO AO ITEM 3";"";"1500";"23565";"1500";"17220";"33804";"TRILHA";"05.895.525/0001-56";"Incluído";"2023-01-17";"60";"";""
"2023";"19013";"1";"LOTE - 01";"3";"3";"22012";"";"19135";"33838";"PLANETA ACESSÍVEL";"30.652.617/0001-52";"Incluído";"2023-02-10";"120";"";""
"2023";"19013";"2";"MAPA TÁTIL COM SUPORTE";"";"1";"2919";"1";"2850";"33839";"DF SOLUÇÕES";"40.818.010/0001-53";"Incluído";"2023-02-09";"60";"";""
"2023";"19025";"2";"FURADEIRA DE BANCADA";"";"1";"24619";"1";"24619";"33897";"NAGANO";"47.446.130/0001-16";"Incluído";"2023-03-03";"60";"";""
"2023";"19025";"3";"SERRA CIRCULAR";"";"1";"20627";"1";"15550";"33898";"POSSAMAI";"08.049.388/0001-27";"Incluído";"2023-02-28";"90";"";""
"2023";"19025";"4";"SERRA DE FITA.";"";"1";"13880";"1";"13880";"33897";"MAKSIWA";"47.446.130/0001-16";"Incluído";"2023-03-03";"60";"";""
"2023";"19025";"5";"NÍVEL A LASER";"";"1";"334";"1";"241";"33899";"VONDER";"28.204.374/0001-48";"Incluído";"2023-02-28";"60";"";""
"2023";"19025";"6";"BETONEIRA PARA CONCRETO";"";"1";"38088";"1";"29799";"33900";"CSN";"49.109.711/0001-98";"Incluído";"2023-03-01";"60";"";""
"2023";"19046";"1";"PRESTAÇÃO DE SERVIÇOS DE INTERPRETAÇÃO SIMULTÂNEA E CONSECUTIVA E LOCAÇÃO DE EQUIPAMENTOS DE INTERPRETAÇÃO";"12";"970";"474934";"";"228280";"33887";"";"11.182.905/0001-46";"Incluído";"2023-02-23";"180";"";""
"2023";"19049";"1";"LOTE ÚNICO - ROSQUEADEIRA ELÉTRICA E ACESSÓRIOS";"3";"3";"92036";"";"61754";"33883";"ROTHENBERGER";"01.739.265/0001-79";"Incluído";"2023-02-28";"60";"";""
"2023";"19052";"1";"INSERSOR DE LEGENDAS OCULTAS (""CLOSED CAPTION"")";"";"2";"92300";"2";"92300";"33874";"SHOWCASE";"05.411.789/0001-97";"Incluído";"2023-02-27";"60";"";""
"2023";"19059";"1";"TRADUÇÃO DE TEXTOS PORTUGUES - INGLÊS - PORTUGUÊS";"";"520000";"41600";"520000";"31200";"33813";"";"20.440.179/0001-05";"Incluído";"2023-01-30";"60";"";""
"2023";"19070";"1";"FOGÃO DE PISO COM 5 BOCAS";"";"36";"93755";"36";"70826";"33873";"ELECTROLUX";"32.972.023/0001-54";"Incluído";"2023-02-27";"60";"";""
"2023";"19070";"2";"DEPURADOR DE AR PARA FOGÃO DE 06 BOCAS";"";"36";"24854";"36";"20640";"33873";"ELECTROLUX";"32.972.023/0001-54";"Incluído";"2023-02-27";"60";"";""
"2023";"19086";"1";"REFRIGERADOR COM UMA PORTA";"";"6";"11133";"6";"10506";"33811";"CONSUL";"21.822.463/0001-09";"Incluído";"2023-02-07";"60";"";""
"2023";"19086";"2";"CAFETEIRA ELÉTRICA 10 LITROS";"";"8";"8773";"8";"6700";"33812";"MARCHESONI";"48.937.226/0001-40";"Incluído";"2023-02-07";"60";"";""
"2023";"19086";"3";"CAFETEIRA ELÉTRICA 6 LITROS";"";"12";"12003";"12";"9049";"33812";"MARCHESONI";"48.937.226/0001-40";"Incluído";"2023-02-07";"60";"";""
"2023";"19091";"1";"ARMÁRIO P/ LÍQUIDOS INFLAMÁVEIS.";"";"3";"24822";"3";"17592";"33825";"REDENTOR";"40.738.393/0001-50";"Incluído";"2023-02-09";"60";"";""
